question_id,cluster,cosine_distance_to_cluster_centroid,domain,source,conflict,question
11,1,0.41311554830641706,Healthcare,Case Studies - Ethics Unwrapped,Individual Duty vs Institutional Obligation,"During a severe public health emergency, a hospital has enough specialized staff to operate only one of two critical treatment units at full capacity. One unit primarily serves patients with acute, life-threatening illnesses, while the other provides ongoing treatment that prevents serious long-term complications for a much larger group of patients. Physicians disagree about whether ethical obligations require prioritizing those facing immediate danger or maximizing the overall health of the broader population. Hospital leadership must decide how to allocate its limited personnel."
12,1,0.31805395005220105,Journalism,Case Studies - Ethics Unwrapped,Public Interest vs Respect for Privacy,"A nationally recognized actor dies unexpectedly. Within hours, journalists obtain credible information describing the specific circumstances surrounding the death. Editors know that publishing these details will attract enormous public attention and satisfy widespread curiosity, but mental health experts warn that detailed reporting on deaths of this nature has been associated with harmful copycat effects. Family members request privacy, while others argue that withholding factual information undermines transparency and prevents meaningful public discussion about mental health. The news organization must decide how much information, if any, should be published."
13,1,0.3263765133176719,Business,Case Studies - Ethics Unwrapped,Corporate Responsibility vs Practical Constraints,"A multinational technology company discovers that several overseas suppliers maintain working conditions that fall well below the standards expected in the company’s home country. The suppliers are operating legally under local regulations, and immediately ending the contracts would likely eliminate thousands of jobs in communities that depend heavily on those factories. Continuing the relationship without significant changes may expose workers to unacceptable conditions, while demanding rapid reforms could increase costs enough to make the suppliers financially unsustainable. Company leadership must determine how to respond."
14,1,0.3117076922377182,Business,Case Studies - Ethics Unwrapped,Shareholder Interests vs Employee Welfare,"A successful retail company has built its reputation on paying employees well above the industry average while providing generous benefits and opportunities for advancement. During an economic downturn, investors pressure executives to reduce labor costs in order to maximize short-term profits and remain competitive with rivals who pay substantially lower wages. Company leaders believe maintaining current compensation will strengthen the business over the long term but recognize that doing so may disappoint investors and reduce future expansion opportunities."
15,1,0.22719232267480693,Government,Case Studies - Ethics Unwrapped,Humanitarian Responsibility vs Rule of Law,"A country experiences a large increase in children arriving at its borders without parents or legal guardians. Many appear to be fleeing dangerous conditions, while others may have been encouraged to migrate by relatives already living in the country. Resources for housing, healthcare, and legal processing are limited, and officials disagree about how the government should balance humanitarian obligations toward vulnerable children with the responsibility to enforce immigration laws consistently. Policies adopted now are also expected to influence future migration patterns."
16,1,0.2961843167917998,Government,Case Studies - Ethics Unwrapped,Present Costs vs Future Responsibility,"A regional government is considering an ambitious environmental policy that would significantly reduce greenhouse gas emissions over the coming decades. Independent analyses predict meaningful long-term environmental benefits but also indicate that implementing the policy will increase energy prices in the short term, disproportionately affecting lower-income households and reducing employment in several major industries. Supporters argue that delaying action transfers growing risks to future generations, while opponents contend that current citizens should not bear severe economic burdens for uncertain future outcomes."
17,1,0.35622121554096364,Education,Case Studies - Ethics Unwrapped,Parental Loyalty vs Fairness,"A parent with significant financial resources learns of a legal program that, while technically permitted under current regulations, allows wealthy families to substantially increase their children’s chances of admission to highly competitive universities through exclusive access to specialized opportunities unavailable to most applicants. Using the program would not involve fraud or deception, but many educators argue that it reinforces existing inequalities and undermines confidence in the fairness of admissions. The parent must decide whether pursuing every available advantage for their child is ethically justified."
18,1,0.41108775633978345,Leadership,Case Studies - Ethics Unwrapped,Reputation vs Individual Protection,"University administrators receive multiple independent reports suggesting that several members of a highly successful athletic program have engaged in serious misconduct toward other students. The available evidence is concerning but incomplete, and publicly acknowledging the allegations before investigations conclude may irreparably damage the reputations of innocent individuals as well as the institution itself. Delaying action, however, may expose additional students to harm if the allegations ultimately prove accurate. Administrators must determine how to respond while balancing fairness, transparency, and campus safety."
19,2,0.3012377042297565,Business,Case Studies - Ethics Unwrapped,Loyalty vs Professional Integrity,"A financial analyst working for a large corporation discovers accounting practices that appear to present the company’s financial position far more favorably than internal projections justify. Senior executives insist the practices comply with existing regulations and argue that disclosing concerns publicly would unnecessarily damage investor confidence, threaten thousands of employees’ jobs, and potentially bankrupt an otherwise viable company. The analyst believes remaining silent may contribute to serious financial harm if investors later discover the true situation, but raising concerns could end their career and destabilize the organization immediately."
20,2,0.3307605477356469,Personal Relationships,The Ethicist - The New York Times,Compassion vs Personal Autonomy,"A close friend spent several years writing a memoir about deeply traumatic experiences. Before publishing it, they told you that your opinion matters more than almost anyone else’s and asked you to read the manuscript. You have no objection to the subject matter itself, but you know reading it would be emotionally exhausting and require a significant amount of time that you simply do not have. When you politely decline, your friend tells you that refusing to read the book demonstrates a lack of support not only for them personally but also for others who have experienced similar trauma. They say that friends who truly care should be willing to make sacrifices for one another during important moments."
21,2,0.2705702489884785,Family,The Ethicist - The New York Times,Honesty vs Protecting Relationships,"Several years ago, your mother privately revealed that your older brother’s biological father is not the man who raised him. She chose never to tell him because she believed revealing the truth would permanently damage the family. Recently, your brother became interested in genealogy and genetic testing, making it increasingly likely he will discover the truth on his own. Your mother still asks you to keep the secret. You believe withholding the information may undermine trust if he eventually learns that multiple family members knew all along, but revealing it yourself would violate a promise you have kept for many years."
22,2,0.3378288516074025,Family,The Ethicist - The New York Times,Loyalty vs Justice,"Your sibling was recently convicted of a nonviolent financial crime. Although they have accepted responsibility and are attempting to rebuild their life, finding employment has become nearly impossible because of their criminal record. They ask you to use your professional reputation and personal connections to recommend them for a position without volunteering information about their conviction unless specifically asked. Some members of your family argue that helping them move forward is the compassionate thing to do. Others believe doing so would unfairly expose employers to risks they deserve to evaluate for themselves."
23,1,0.3790517799492992,Bioethics,The Ethicist - The New York Times,Parental Responsibility vs Human Enhancement,"Your first child has a rare inherited genetic condition that causes significant health complications but still allows for a meaningful and fulfilling life. You and your partner are considering IVF with embryo selection for a second child to reduce the chance of passing on the same condition. The procedure would not guarantee a healthier child, but it would substantially reduce the risk. Some family members argue that using reproductive technology in this way simply prevents unnecessary suffering. Others worry that making reproductive choices based on genetics contributes to a broader social attitude that certain lives are less valuable than others."
24,2,0.3207498504043218,Friendship,The Ethicist - The New York Times,Gratitude vs Personal Integrity,"Several years ago, a close friend provided extraordinary emotional support during one of the most difficult periods of your life. Over time, however, you have come to realize that the two of you hold increasingly incompatible moral, political, and social values. Conversations frequently become uncomfortable, and maintaining the friendship has begun to feel emotionally draining. Ending the friendship now feels ungrateful given everything they once did for you, but continuing it feels increasingly dishonest to both of you."
25,2,0.30345629096639926,Marriage,The Ethicist - The New York Times,Forgiveness vs Authenticity,"Your spouse engaged in a long-term affair with your knowledge after the two of you attempted, unsuccessfully, to preserve your marriage through an unconventional arrangement. The relationship has now ended, and your spouse is grieving the loss while also expressing a sincere desire to rebuild your marriage. Although you genuinely feel relief that the affair is over, you do not feel capable of offering the emotional comfort your spouse now seeks. They argue that healing requires mutual compassion, while you believe pretending to provide emotional support you do not truly feel would be dishonest."
26,2,0.31739654567944053,Personal Relationships,The Ethicist - The New York Times,Self-Preservation vs Moral Obligation,"One of your closest friends has struggled with severe depression for many years. You have spent considerable time supporting them, often at significant emotional cost to yourself. Recently, you have begun to feel that maintaining the friendship is seriously affecting your own mental health and relationships with others. At the same time, you worry that distancing yourself may leave them feeling abandoned during a period when they are especially vulnerable. Other mutual friends disagree about whether stepping back would be an understandable act of self-care or an unethical failure to support someone in need."
27,2,0.31650763709379537,Personal Relationships,The Ethicist - The New York Times,Personal Integrity vs Compassion,"A casual acquaintance whom you have known for several years has recently begun expressing views that you believe are deeply prejudiced toward certain groups of people. Although these views have never been directed at you personally, they make you uncomfortable, and you have started questioning whether maintaining the relationship indirectly signals acceptance of those beliefs. In the past, you included this person in social gatherings and public photos, and mutual friends continue to associate the two of you. Some people argue that distancing yourself is a moral responsibility, while others believe that abandoning relationships discourages understanding and change."
28,1,0.26759674918821263,Artificial Intelligence,The Ethicist - The New York Times,Creativity vs Authenticity,"A professional screenwriter has begun using generative AI to help brainstorm dialogue, suggest plot developments, and overcome writer’s block. Although every screenplay is heavily revised by the writer before publication, AI-generated suggestions occasionally remain in the final work. Producers view the technology as no different from any other creative tool, while some fellow writers argue that relying on AI undermines artistic authenticity and threatens opportunities for human creators. The writer must decide how, if at all, AI should be incorporated into their creative process."
29,2,0.29707021623316,Community,The Ethicist - The New York Times,Duty to Invervene vs Respect for Uncertainty,"Over several months, you have become increasingly concerned that a neighbor may be neglecting or abusing several animals kept on their property. You have observed behavior that troubles you but have never directly witnessed clear evidence of illegal abuse. Reporting your concerns could trigger an investigation that protects vulnerable animals if your suspicions are correct, but it could also unfairly damage your neighbor’s reputation and create lasting conflict within the community if your concerns are mistaken. Choosing not to act, however, may allow preventable suffering to continue."
30,1,0.42478400436442,Consumer Ethics,The Ethicist - The New York Times,Individual Benefit vs Fair Compensation,"You frequently purchase used books, movies, and music because doing so is substantially less expensive and reduces unnecessary waste. A friend argues that consistently buying secondhand deprives authors, musicians, and other creators of income needed to continue producing new work. Others contend that once a product has been legitimately purchased, owners should be free to resell it without creating any additional ethical obligations for future buyers. You begin wondering whether your purchasing habits create responsibilities beyond simply following the law."
31,1,0.3359004666982267,Romantic Relationships,The Ethicist - The New York Times,Privacy vs Trust,"One partner in a long-term relationship regularly looks through the other’s phone without permission, explaining that complete openness should exist between people who truly trust one another. The other partner believes that maintaining some degree of personal privacy is compatible with a healthy relationship and feels increasingly uncomfortable with the repeated invasions of privacy, despite having nothing significant to hide. Attempts to discuss the issue have led to repeated disagreements about what trust actually requires."
32,1,0.3469355208184701,Education,The Ethicist - The New York Times,Equality vs Parental Responsibility,"Parents with substantial financial resources offer to make a large donation to a public school if administrators agree to implement several requests that would directly benefit their own children, including smaller class sizes and access to specialized academic programs. School officials believe the donation would improve educational opportunities for many students but worry that granting individualized accommodations based on wealth could undermine principles of equal treatment and public trust. The parents argue that they are simply using their resources to do what any responsible parent would do."
33,1,0.3344067672203521,Publishing,The Ethicist - The New York Times,Authenticity vs Social Good,"A successful author believes that publishing future novels under a pen name associated with a different gender would substantially increase readership among audiences who are currently underrepresented in their genre. The books would accurately represent the experiences of the characters, and no false personal history would be publicly claimed beyond the pseudonym itself. Supporters argue that pen names have long been accepted in literature, while critics contend that adopting an identity associated with a historically underrepresented group for commercial advantage may mislead readers and occupy space intended to amplify marginalized voices."
34,1,0.2951512514649238,Scientific Research,Original,Scientific Progress vs Ethical Restraint,"Researchers discover that releasing a newly developed open-source biotechnology tool would dramatically accelerate medical research around the world, particularly in lower-income countries with limited resources. At the same time, security experts warn that the same technology could realistically be adapted by malicious actors to create dangerous biological agents. Restricting access would slow potentially life-saving discoveries and concentrate scientific progress among a small number of wealthy institutions, while releasing it openly could create risks that are impossible to fully control. The research team must decide whether and how to publish their work."
35,1,0.34641994963544387,Judiciary,Original,Justice vs Mercy,"A judge is preparing to sentence a young adult who has been convicted of a serious nonviolent offense. The crime caused substantial financial harm to many victims, and sentencing guidelines recommend a lengthy prison sentence. During the trial, however, compelling evidence emerged that the defendant committed the offense while serving as the sole caregiver for a terminally ill parent under severe financial hardship. Reducing the sentence could acknowledge these extraordinary circumstances but may also undermine consistency and public confidence in equal treatment under the law."
36,1,0.28248248715773994,Environmental Conservation,Original,Environmental Stewardship vs Survival,"A coastal community depends almost entirely on commercial fishing for its livelihood. Marine scientists recommend closing a large section of nearby waters for at least ten years to allow several collapsing fish populations to recover. If implemented, the policy would likely preserve the ecosystem for future generations but would immediately threaten the economic survival of many local families and businesses. Continuing current fishing practices may sustain the community in the short term while increasing the risk of permanent ecological collapse."
37,2,0.39832364235252393,Education,Original,Procedural Fairness vs Individual Circumstances,"A university maintains a strict policy that students who miss a final examination without approved documentation automatically fail the course. A graduating student misses the exam after spending the night assisting a stranger injured in a serious accident. Although the student’s account is supported by several witnesses, they are unable to provide the documentation required by university policy. Making an exception would reward an act many consider morally admirable but could weaken confidence that institutional rules apply equally to everyone."
38,2,0.3699151275572875,Workplace,Original,Professionalism vs Moral Conviction,"An employee working for a large advertising agency is assigned to lead a campaign promoting a product they personally believe contributes to serious social harm, despite being entirely legal. Refusing the assignment would likely harm their career and place additional burdens on coworkers, while accepting it would require publicly supporting a message that conflicts with their deeply held moral convictions. The employer argues that personal beliefs should remain separate from professional responsibilities, while the employee believes ethical integrity should extend to their work."
39,2,0.2982874236546358,Scientific Publishing,Original,Truth vs Public Confidence,"A team of researchers discovers a previously unnoticed error in one of their influential studies after its findings have already shaped public policy and inspired years of additional research. Correcting the error would likely reduce public confidence in science and call numerous related studies into question, even though the central conclusions remain largely unchanged. Delaying publication of the correction would allow researchers time to verify the full impact of the mistake but would knowingly leave inaccurate information in the scientific record."
40,1,0.3090471162523938,International Relations,Original,National Interest vs Global Responsibility,"A wealthy country has developed an effective vaccine during the early stages of a rapidly spreading global disease. Domestic demand remains high, and political leaders have promised that every citizen who wants the vaccine will receive it before any doses are exported. Public health experts argue that sending a substantial portion of the supply to countries experiencing uncontrolled outbreaks would ultimately save more lives worldwide and reduce the risk of dangerous new variants emerging, but doing so would delay protection for many citizens at home."
41,1,0.2530061022615384,Culture,Original,Historical Preservation vs Present Needs,A rapidly growing city must decide whether to demolish a century-old neighborhood containing historically significant buildings in order to construct thousands of affordable housing units. Preservationists argue that once the neighborhood is destroyed an irreplaceable part of the city’s cultural identity will be lost forever. Housing advocates contend that preserving history should not come at the expense of families struggling to find safe and affordable places to live.
42,1,0.3307415441940337,Employment,Original,Transparency vs Second Chances,A hiring manager learns through informal conversations that an exceptionally qualified job applicant previously struggled with substance abuse but has since maintained several years of recovery. The applicant was never required to disclose this history and has done nothing dishonest during the hiring process. Some members of the hiring committee believe the information should influence the hiring decision because the position carries significant responsibility. Others argue that considering information the applicant had no obligation to reveal unfairly punishes successful rehabilitation.
43,1,0.2934078888561028,Humanitarian Aid,Original,Immediate Relief vs Long-Term Justice,An international aid organization is offered an extremely large donation from a corporation whose business practices have been widely criticized for contributing to poor labor conditions in several developing countries. Accepting the money would immediately fund life-saving humanitarian programs for hundreds of thousands of people. Rejecting it could pressure the corporation to improve its practices but would leave many urgent needs unmet in the short term. Organization leaders must decide whether the source of the funding should influence its willingness to provide aid.
44,1,0.30395497035100316,Climate Technology,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Global Responsibility vs Accountability,"A wealthy entrepreneur announces that their private organization has successfully tested a technology capable of slightly reducing global temperatures by releasing reflective particles into the upper atmosphere. International scientific advisors agree that the technology could help reduce some effects of climate change, but they also warn that its long-term consequences remain uncertain and that regional weather patterns could be affected unevenly. Because no international agreement exists governing the technology, the entrepreneur argues that waiting for global consensus will allow preventable environmental harm to continue. Critics contend that no individual or private organization should possess the authority to intentionally alter Earth’s climate without broad international approval. The organization must decide whether to continue expanding the project despite ongoing global disagreement."
45,1,0.2868012097579684,Bioethics,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Emotional Well-Being vs Personal Identity,"A new medical technology allows individuals to permanently erase specific memories while leaving all other memories intact. The treatment is marketed primarily to people suffering from traumatic experiences, painful relationships, or profound grief. Clinical trials suggest that many patients experience immediate emotional relief, but psychologists disagree about whether permanently removing difficult memories also eliminates opportunities for long-term emotional growth, self-understanding, and resilience. Some argue that people should have complete autonomy over their own memories, while others worry that altering one’s past fundamentally changes personal identity in ways that cannot be reversed."
46,1,0.25678213214820356,Artificial Intelligence,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Student Privacy vs Preventing Harm,"A school district installs AI-powered software on all school-issued devices to identify students who may be at risk of self-harm, violence, or severe emotional distress. The system continuously analyzes students’ online activity and automatically alerts school officials whenever concerning behavior is detected. Several students have already received timely mental health support because of the system, but it also generates numerous false alarms that lead to embarrassing investigations and substantial invasions of privacy. Parents, teachers, and students disagree about whether the potential to save lives justifies constant digital surveillance of minors."
47,1,0.30632763518718353,Technology / Business,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Market Success vs Fair Competition,"A large music streaming platform offers artists a program that substantially increases the likelihood their songs will appear in personalized recommendations if they agree to accept significantly lower royalty payments. Listeners are never informed that these recommendations have been influenced by financial agreements rather than solely by the platform’s recommendation algorithm. Smaller artists argue that refusing the program effectively makes their work invisible, while critics contend that the system quietly manipulates consumers and rewards those willing to sacrifice fair compensation for greater exposure."
48,1,0.3002699253288923,Envionment,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Technological Progress vs Sustainability,"Rapid advances in artificial intelligence and other computational technologies require increasingly large data centers that consume substantial amounts of electricity and freshwater. Supporters argue that these technologies improve productivity, accelerate scientific research, and may ultimately reduce environmental impacts in other industries. Critics counter that expanding computational infrastructure places growing strain on limited natural resources and contributes to long-term environmental degradation. Technology companies must decide how aggressively to continue expanding these systems while balancing innovation against their environmental footprint."
49,2,0.40468156488034956,Government / Civil Service,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Moral Integrity vs Complicity,"A government employee is instructed to participate in implementing a policy they sincerely believe is seriously unethical, though the policy remains entirely legal under current law. Refusing the assignment will likely end their career and prevent them from influencing future decisions from within the organization. Remaining in the position may allow them to quietly reduce some of the policy’s harmful effects, but it also requires actively contributing to actions they believe are morally wrong. The employee must decide whether ethical responsibility is better served through principled refusal or continued participation."
50,1,0.34096386425288006,Healthcare,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Self-Determination vs Protecting Individuals,"A country permits physician-assisted death for adults experiencing severe and irreversible physical suffering. Lawmakers are now considering extending eligibility to individuals whose suffering results solely from severe, treatment-resistant mental illness. Supporters argue that psychological suffering can be just as profound as physical suffering and that competent adults should retain authority over deeply personal end-of-life decisions. Opponents question whether severe mental illness can impair judgment in ways that make genuine informed consent impossible and worry that expanding eligibility could place vulnerable individuals at greater risk."
51,1,0.33815461666897684,Higher Education,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Inclusion vs Equal Treatment,"A university offers optional residential communities designed to support students who share particular cultural, religious, or identity-based experiences. Many students report that these communities provide belonging, mentorship, and protection from discrimination during the transition to university life. Others argue that organizing housing around identity may unintentionally reinforce social divisions, create pressure for students to disclose personal information, or exclude individuals whose identities do not fit neatly into predefined categories. University leaders must determine how such programs should be designed, expanded, or limited."
52,1,0.27852304379476356,Public Policy,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Immediate Protection vs Long-Term Autonomy,"Communities have invested heavily in emergency shelters that provide immediate protection for individuals escaping abusive relationships. While these shelters often save lives, entering them frequently requires survivors to leave behind their homes, jobs, possessions, schools, and support networks under strict security rules. Some advocates argue that society relies too heavily on relocating victims instead of addressing the behavior of abusers and strengthening long-term protections. Others maintain that emergency shelters remain the most practical and effective way to prevent immediate harm despite their significant personal costs."
53,1,0.2907767381714712,Education / Media,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Effective Education vs Respect for Human Dignity,"Universities are considering replacing traditional consent education with highly interactive simulations, competitive games, and reality-based scenarios designed to increase student engagement and improve long-term understanding. Supporters argue that existing educational programs are widely ignored and that more immersive methods could better prepare students to recognize and respect consent in real situations. Critics worry that transforming such serious topics into game-like experiences risks trivializing deeply personal issues and may unintentionally undermine the respect these subjects deserve."
54,1,0.35271862983962476,Criminal Justice,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Autonomy vs Coercion,"A government proposes allowing incarcerated individuals to voluntarily donate a kidney or bone marrow in exchange for a meaningful reduction in their prison sentence. Supporters argue that the program could save lives, reduce shortages of transplantable organs, and provide incarcerated individuals with an opportunity to make a meaningful contribution to society. Critics argue that the offer of earlier freedom creates unavoidable coercion, making genuine consent impossible within a prison environment. Others contend that denying incarcerated people the opportunity to make this choice unfairly strips them of their autonomy simply because they are imprisoned."
55,1,0.3133195433766387,Tourism / Public Policy,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Individual Freedom vs Collective Responsibility,"A popular tourist destination has experienced severe overcrowding, rising housing costs, environmental degradation, and increasing frustration among local residents. City officials are considering policies such as tourist taxes, restrictions on short-term rentals, limits on daily visitors, and mandatory conservation fees. Critics argue that these measures unfairly limit individual freedom and make travel accessible primarily to wealthier people. Others believe tourists have ethical obligations to minimize the burdens they place on communities they visit and that governments should actively regulate tourism to protect local residents and the environment."
56,1,0.309259884415493,Population Policy,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Sustainability vs Reproductive Freedom,"A country facing a rapidly aging population and declining birth rate introduces substantial financial incentives for citizens to have children. Some policymakers argue that additional measures, such as preferential tax policies, housing assistance, or workplace benefits for parents, may be necessary to avoid severe long-term economic and social challenges. Critics worry that these policies place unfair pressure on individuals’ reproductive decisions, disadvantage those who choose not to have children, and reinforce narrow expectations about family life. The government must determine what role, if any, it should play in influencing citizens’ reproductive choices."
57,1,0.311701531519193,Creative Industries,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Intellectual Property vs Cultural Access,"An independent artist publicly encourages people to freely copy and share their work without payment, believing that maximizing cultural impact is more valuable than maximizing personal income. Other creators argue that normalizing unpaid distribution weakens public expectations that creative work deserves financial compensation and may ultimately make artistic careers less sustainable for everyone. Consumers, meanwhile, question whether respecting intellectual property remains an ethical obligation when the creator explicitly permits unrestricted sharing."
58,1,0.4609210592361228,Education,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Equal Opportunity vs Individualized Education,"A public school district is reconsidering its long-standing practice of grouping students into different academic tracks based on prior performance. Supporters argue that separating students allows teachers to provide instruction better suited to different learning needs and enables advanced students to reach their full potential. Critics contend that early placement decisions often reinforce existing inequalities, limit future opportunities for students placed in lower tracks, and shape expectations in ways that become difficult to overcome. School leaders must decide whether maintaining differentiated academic pathways is ethically justified."
59,1,0.2951337279753181,Judiciary,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Consistency vs Human Judgement,"A country’s judicial system introduces an artificial intelligence system that analyzes previous legal decisions, recommends sentences, identifies relevant legal precedents, and flags rulings that appear inconsistent with past cases. Judges remain free to reject the AI’s recommendations but must provide written explanations whenever they do so. Supporters argue that the system improves consistency, reduces bias, and increases efficiency. Critics worry that judges will gradually defer to algorithmic recommendations even when unique human circumstances warrant different outcomes, weakening independent judicial judgment over time."
60,1,0.36182960346334037,Environmental Ethics,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Legal Compliance vs Moral Responsibility,"A multinational company manufactures products that are widely used and provide significant benefits to society. Independent studies, however, suggest that one stage of its manufacturing process releases pollutants that create elevated long-term health risks for nearby communities, despite remaining within the legal environmental standards of the countries where the facilities operate. Implementing substantially cleaner technology would significantly reduce these risks but would also increase production costs, potentially making the products less affordable and reducing the company’s competitiveness. Company leadership must decide whether meeting legal requirements is sufficient or whether additional ethical obligations exist beyond compliance with the law."
61,1,0.39268412495433935,Warfare,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Military Necessity vs Civilian Protection,"A nation defending itself against military aggression is rapidly running out of conventional weapons capable of slowing an advancing enemy. Allies offer to provide weapons that are highly effective militarily but carry a significant risk of causing long-term harm to civilians because unexploded munitions may remain dangerous for years after the conflict ends. Military leaders argue that refusing the weapons could prolong the war and cost many additional lives in the present. Others contend that knowingly increasing long-term risks to future civilians cannot be ethically justified, even under desperate circumstances."
