rank,question_id_1,question_id_2,domain_1,domain_2,conflict_1,conflict_2,question_1,question_2,mean_residual_cosine,mean_within_model_percentile,cross_model_rank_std,selection_score,model_cosines
11,15,57,Government,Creative Industries,Humanitarian Responsibility vs Rule of Law,Intellectual Property vs Cultural Access,"A country experiences a large increase in children arriving at its borders without parents or legal guardians. Many appear to be fleeing dangerous conditions, while others may have been encouraged to migrate by relatives already living in the country. Resources for housing, healthcare, and legal processing are limited, and officials disagree about how the government should balance humanitarian obligations toward vulnerable children with the responsibility to enforce immigration laws consistently. Policies adopted now are also expected to influence future migration patterns.","An independent artist publicly encourages people to freely copy and share their work without payment, believing that maximizing cultural impact is more valuable than maximizing personal income. Other creators argue that normalizing unpaid distribution weakens public expectations that creative work deserves financial compensation and may ultimately make artistic careers less sustainable for everyone. Consumers, meanwhile, question whether respecting intellectual property remains an ethical obligation when the creator explicitly permits unrestricted sharing.",0.5303990762620249,0.9638412378069291,0.033877789298525016,0.9469023431576666,"{""claude_sonnet"": 0.5597077513017026, ""claude_opus"": 0.4988542841315911, ""gemini_flash"": 0.5244172396344422, ""gpt_55"": 0.5535508859017548, ""grok"": 0.48263591240778764, ""deepseek"": 0.5632283841948711}"
12,52,82,Public Policy,Artificial Intelligence,Immediate Protection vs Long-Term Autonomy,Efficiency vs Professional Judgement,"Communities have invested heavily in emergency shelters that provide immediate protection for individuals escaping abusive relationships. While these shelters often save lives, entering them frequently requires survivors to leave behind their homes, jobs, possessions, schools, and support networks under strict security rules. Some advocates argue that society relies too heavily on relocating victims instead of addressing the behavior of abusers and strengthening long-term protections. Others maintain that emergency shelters remain the most practical and effective way to prevent immediate harm despite their significant personal costs.","Artificial intelligence systems have become capable of diagnosing certain diseases as accurately—or more accurately—than experienced physicians in controlled testing. Some hospitals propose allowing AI systems to make routine diagnostic decisions independently, with physicians reviewing only unusual or disputed cases. Supporters argue that this approach would reduce costs, improve consistency, and expand access to care. Critics worry that removing physicians from routine decisions could erode professional judgment, reduce accountability, and overlook uniquely human aspects of medical care.",0.537063848748631,0.9673730238816011,0.0464238529273799,0.9441610974179111,"{""claude_sonnet"": 0.5272732541757417, ""claude_opus"": 0.5821537818489397, ""gemini_flash"": 0.49003219467282016, ""gpt_55"": 0.5774345820693867, ""grok"": 0.5326414770964094, ""deepseek"": 0.5128478026284885}"
13,7,41,Government / Public Service,Culture,Loyalty vs Public Responsibility,Historical Preservation vs Present Needs,"An intelligence analyst discovers evidence suggesting that a government surveillance program has quietly expanded beyond the limits originally approved by lawmakers. The expansion appears to have prevented several credible security threats, but it also includes large numbers of citizens who were never intended to be monitored. Internal reporting channels have previously failed to produce meaningful oversight, and publicly disclosing the information could seriously damage national security operations.",A rapidly growing city must decide whether to demolish a century-old neighborhood containing historically significant buildings in order to construct thousands of affordable housing units. Preservationists argue that once the neighborhood is destroyed an irreplaceable part of the city’s cultural identity will be lost forever. Housing advocates contend that preserving history should not come at the expense of families struggling to find safe and affordable places to live.,0.5310486750198292,0.9646821392532795,0.042533323833746625,0.9434154773364062,"{""claude_sonnet"": 0.5012188279503131, ""claude_opus"": 0.5474886007679516, ""gemini_flash"": 0.5884570238923795, ""gpt_55"": 0.5595511718198058, ""grok"": 0.4728771330394403, ""deepseek"": 0.5166992926490848}"
14,15,45,Government,Bioethics,Humanitarian Responsibility vs Rule of Law,Emotional Well-Being vs Personal Identity,"A country experiences a large increase in children arriving at its borders without parents or legal guardians. Many appear to be fleeing dangerous conditions, while others may have been encouraged to migrate by relatives already living in the country. Resources for housing, healthcare, and legal processing are limited, and officials disagree about how the government should balance humanitarian obligations toward vulnerable children with the responsibility to enforce immigration laws consistently. Policies adopted now are also expected to influence future migration patterns.","A new medical technology allows individuals to permanently erase specific memories while leaving all other memories intact. The treatment is marketed primarily to people suffering from traumatic experiences, painful relationships, or profound grief. Clinical trials suggest that many patients experience immediate emotional relief, but psychologists disagree about whether permanently removing difficult memories also eliminates opportunities for long-term emotional growth, self-understanding, and resilience. Some argue that people should have complete autonomy over their own memories, while others worry that altering one’s past fundamentally changes personal identity in ways that cannot be reversed.",0.5233009342638498,0.9596367305751766,0.03490703347223574,0.9421832138390588,"{""claude_sonnet"": 0.4681341674533885, ""claude_opus"": 0.5176362225803275, ""gemini_flash"": 0.5244278671111188, ""gpt_55"": 0.5329416124753559, ""grok"": 0.5653871757810646, ""deepseek"": 0.5312785601818437}"
15,73,82,Space Governance,Artificial Intelligence,Innovation vs Common Ownership,Efficiency vs Professional Judgement,Private companies and national governments have begun developing technologies capable of extracting valuable minerals from the Moon. One country argues that whoever first develops the technology and assumes the financial risks should have exclusive rights to those resources. Others argue that celestial bodies should be treated as a shared resource belonging equally to all humanity. International negotiators must determine how ownership and access to extraterrestrial resources should be governed.,"Artificial intelligence systems have become capable of diagnosing certain diseases as accurately—or more accurately—than experienced physicians in controlled testing. Some hospitals propose allowing AI systems to make routine diagnostic decisions independently, with physicians reviewing only unusual or disputed cases. Supporters argue that this approach would reduce costs, improve consistency, and expand access to care. Critics worry that removing physicians from routine decisions could erode professional judgment, reduce accountability, and overlook uniquely human aspects of medical care.",0.5164417126664161,0.9545913218970736,0.02994553833038007,0.9396185527318835,"{""claude_sonnet"": 0.47097649899767424, ""claude_opus"": 0.5147061150943935, ""gemini_flash"": 0.515931931156652, ""gpt_55"": 0.568944972607699, ""grok"": 0.5096292728257089, ""deepseek"": 0.518461485316369}"
16,34,52,Scientific Research,Public Policy,Scientific Progress vs Ethical Restraint,Immediate Protection vs Long-Term Autonomy,"Researchers discover that releasing a newly developed open-source biotechnology tool would dramatically accelerate medical research around the world, particularly in lower-income countries with limited resources. At the same time, security experts warn that the same technology could realistically be adapted by malicious actors to create dangerous biological agents. Restricting access would slow potentially life-saving discoveries and concentrate scientific progress among a small number of wealthy institutions, while releasing it openly could create risks that are impossible to fully control. The research team must decide whether and how to publish their work.","Communities have invested heavily in emergency shelters that provide immediate protection for individuals escaping abusive relationships. While these shelters often save lives, entering them frequently requires survivors to leave behind their homes, jobs, possessions, schools, and support networks under strict security rules. Some advocates argue that society relies too heavily on relocating victims instead of addressing the behavior of abusers and strengthening long-term protections. Others maintain that emergency shelters remain the most practical and effective way to prevent immediate harm despite their significant personal costs.",0.5150616872917876,0.9520686175580222,0.026370004350573552,0.9388836153827355,"{""claude_sonnet"": 0.47623751604576114, ""claude_opus"": 0.5023153072372698, ""gemini_flash"": 0.5615448551709455, ""gpt_55"": 0.5272620825350389, ""grok"": 0.5207451297094176, ""deepseek"": 0.502265233052292}"
17,41,73,Culture,Space Governance,Historical Preservation vs Present Needs,Innovation vs Common Ownership,A rapidly growing city must decide whether to demolish a century-old neighborhood containing historically significant buildings in order to construct thousands of affordable housing units. Preservationists argue that once the neighborhood is destroyed an irreplaceable part of the city’s cultural identity will be lost forever. Housing advocates contend that preserving history should not come at the expense of families struggling to find safe and affordable places to live.,Private companies and national governments have begun developing technologies capable of extracting valuable minerals from the Moon. One country argues that whoever first develops the technology and assumes the financial risks should have exclusive rights to those resources. Others argue that celestial bodies should be treated as a shared resource belonging equally to all humanity. International negotiators must determine how ownership and access to extraterrestrial resources should be governed.,0.5413063707127105,0.9660275815674403,0.05739261718290672,0.937331272975987,"{""claude_sonnet"": 0.4556629244856328, ""claude_opus"": 0.527081654113456, ""gemini_flash"": 0.5508235644500132, ""gpt_55"": 0.5955798291004648, ""grok"": 0.5768308202855633, ""deepseek"": 0.5418594318411326}"
18,41,47,Culture,Technology / Business,Historical Preservation vs Present Needs,Market Success vs Fair Competition,A rapidly growing city must decide whether to demolish a century-old neighborhood containing historically significant buildings in order to construct thousands of affordable housing units. Preservationists argue that once the neighborhood is destroyed an irreplaceable part of the city’s cultural identity will be lost forever. Housing advocates contend that preserving history should not come at the expense of families struggling to find safe and affordable places to live.,"A large music streaming platform offers artists a program that substantially increases the likelihood their songs will appear in personalized recommendations if they agree to accept significantly lower royalty payments. Listeners are never informed that these recommendations have been influenced by financial agreements rather than solely by the platform’s recommendation algorithm. Smaller artists argue that refusing the program effectively makes their work invisible, while critics contend that the system quietly manipulates consumers and rewards those willing to sacrifice fair compensation for greater exposure.",0.5145848873753011,0.9502186343760511,0.03518145136896839,0.932627908691567,"{""claude_sonnet"": 0.5042546544251721, ""claude_opus"": 0.47493271414660976, ""gemini_flash"": 0.5468581888339806, ""gpt_55"": 0.5199423925622231, ""grok"": 0.5109404053497179, ""deepseek"": 0.5305809689341032}"
19,7,28,Government / Public Service,Artificial Intelligence,Loyalty vs Public Responsibility,Creativity vs Authenticity,"An intelligence analyst discovers evidence suggesting that a government surveillance program has quietly expanded beyond the limits originally approved by lawmakers. The expansion appears to have prevented several credible security threats, but it also includes large numbers of citizens who were never intended to be monitored. Internal reporting channels have previously failed to produce meaningful oversight, and publicly disclosing the information could seriously damage national security operations.","A professional screenwriter has begun using generative AI to help brainstorm dialogue, suggest plot developments, and overcome writer’s block. Although every screenplay is heavily revised by the writer before publication, AI-generated suggestions occasionally remain in the final work. Producers view the technology as no different from any other creative tool, while some fellow writers argue that relying on AI undermines artistic authenticity and threatens opportunities for human creators. The writer must decide how, if at all, AI should be incorporated into their creative process.",0.5181900642400513,0.9497140935082409,0.04468313232127819,0.9273725273476018,"{""claude_sonnet"": 0.49096879299087864, ""claude_opus"": 0.5238201394234145, ""gemini_flash"": 0.57730005080077, ""gpt_55"": 0.5245814562001486, ""grok"": 0.46720727565827636, ""deepseek"": 0.5252626703668194}"
20,52,73,Public Policy,Space Governance,Immediate Protection vs Long-Term Autonomy,Innovation vs Common Ownership,"Communities have invested heavily in emergency shelters that provide immediate protection for individuals escaping abusive relationships. While these shelters often save lives, entering them frequently requires survivors to leave behind their homes, jobs, possessions, schools, and support networks under strict security rules. Some advocates argue that society relies too heavily on relocating victims instead of addressing the behavior of abusers and strengthening long-term protections. Others maintain that emergency shelters remain the most practical and effective way to prevent immediate harm despite their significant personal costs.",Private companies and national governments have begun developing technologies capable of extracting valuable minerals from the Moon. One country argues that whoever first develops the technology and assumes the financial risks should have exclusive rights to those resources. Others argue that celestial bodies should be treated as a shared resource belonging equally to all humanity. International negotiators must determine how ownership and access to extraterrestrial resources should be governed.,0.5160722558094277,0.9495459132189707,0.0478259324753486,0.9256329469812965,"{""claude_sonnet"": 0.45813493433550273, ""claude_opus"": 0.5081293012089033, ""gemini_flash"": 0.5222737054699806, ""gpt_55"": 0.5640819050353035, ""grok"": 0.5312549212331601, ""deepseek"": 0.5125587675737159}"
21,36,53,Environmental Conservation,Education / Media,Environmental Stewardship vs Survival,Effective Education vs Respect for Human Dignity,"A coastal community depends almost entirely on commercial fishing for its livelihood. Marine scientists recommend closing a large section of nearby waters for at least ten years to allow several collapsing fish populations to recover. If implemented, the policy would likely preserve the ecosystem for future generations but would immediately threaten the economic survival of many local families and businesses. Continuing current fishing practices may sustain the community in the short term while increasing the risk of permanent ecological collapse.","Universities are considering replacing traditional consent education with highly interactive simulations, competitive games, and reality-based scenarios designed to increase student engagement and improve long-term understanding. Supporters argue that existing educational programs are widely ignored and that more immersive methods could better prepare students to recognize and respect consent in real situations. Critics worry that transforming such serious topics into game-like experiences risks trivializing deeply personal issues and may unintentionally undermine the respect these subjects deserve.",0.5085322335038082,0.9392869155734948,0.03404768315924648,0.9222630739938715,"{""claude_sonnet"": 0.5118861948917567, ""claude_opus"": 0.5295987359589794, ""gemini_flash"": 0.49888157525828525, ""gpt_55"": 0.517888553094399, ""grok"": 0.49181095098443867, ""deepseek"": 0.5011273908349895}"
22,10,63,Sports / Healthcare,Technology / Relationships,Autonomy vs Institutional Responsibility,Human Connection vs Technological Convenience,"A professional sports league has developed compelling evidence that repeated minor head impacts substantially increase the risk of long-term neurological disease, even among athletes who never suffer diagnosed concussions. Many players understand the risks and insist they should be free to continue competing under the current rules because the sport provides financial opportunities unavailable elsewhere. League officials must decide whether to introduce stricter regulations that many athletes oppose, potentially shortening careers and fundamentally changing the nature of the sport.","Artificial intelligence systems have become capable of providing highly personalized emotional support, companionship, and conversation. Many people rely on these systems to reduce loneliness, practice difficult conversations, or receive encouragement during stressful periods of life. Mental health professionals disagree about whether encouraging these relationships ultimately helps individuals build healthier human relationships or instead risks replacing genuine interpersonal connection with interactions that merely simulate empathy. Developers must consider what role AI companions should play in addressing widespread social isolation.",0.5073155786623423,0.9371005718129833,0.039520578785960686,0.917340282420003,"{""claude_sonnet"": 0.4750416931853204, ""claude_opus"": 0.4763633245591099, ""gemini_flash"": 0.49916998526010176, ""gpt_55"": 0.5537616409853799, ""grok"": 0.516742335001071, ""deepseek"": 0.5228144929830711}"
23,36,47,Environmental Conservation,Technology / Business,Environmental Stewardship vs Survival,Market Success vs Fair Competition,"A coastal community depends almost entirely on commercial fishing for its livelihood. Marine scientists recommend closing a large section of nearby waters for at least ten years to allow several collapsing fish populations to recover. If implemented, the policy would likely preserve the ecosystem for future generations but would immediately threaten the economic survival of many local families and businesses. Continuing current fishing practices may sustain the community in the short term while increasing the risk of permanent ecological collapse.","A large music streaming platform offers artists a program that substantially increases the likelihood their songs will appear in personalized recommendations if they agree to accept significantly lower royalty payments. Listeners are never informed that these recommendations have been influenced by financial agreements rather than solely by the platform’s recommendation algorithm. Smaller artists argue that refusing the program effectively makes their work invisible, while critics contend that the system quietly manipulates consumers and rewards those willing to sacrifice fair compensation for greater exposure.",0.5073135042774433,0.9372687521022537,0.04368448616820455,0.9154265090181514,"{""claude_sonnet"": 0.514349398215268, ""claude_opus"": 0.5129399824442545, ""gemini_flash"": 0.4861840037410467, ""gpt_55"": 0.5119320404558456, ""grok"": 0.5071113477873753, ""deepseek"": 0.5113642530208693}"
24,63,73,Technology / Relationships,Space Governance,Human Connection vs Technological Convenience,Innovation vs Common Ownership,"Artificial intelligence systems have become capable of providing highly personalized emotional support, companionship, and conversation. Many people rely on these systems to reduce loneliness, practice difficult conversations, or receive encouragement during stressful periods of life. Mental health professionals disagree about whether encouraging these relationships ultimately helps individuals build healthier human relationships or instead risks replacing genuine interpersonal connection with interactions that merely simulate empathy. Developers must consider what role AI companions should play in addressing widespread social isolation.",Private companies and national governments have begun developing technologies capable of extracting valuable minerals from the Moon. One country argues that whoever first develops the technology and assumes the financial risks should have exclusive rights to those resources. Others argue that celestial bodies should be treated as a shared resource belonging equally to all humanity. International negotiators must determine how ownership and access to extraterrestrial resources should be governed.,0.5196470277109607,0.9455095862764883,0.06229939119199456,0.9143598906804911,"{""claude_sonnet"": 0.45881090109545575, ""claude_opus"": 0.5274419445807853, ""gemini_flash"": 0.4883502821267648, ""gpt_55"": 0.5799516238229261, ""grok"": 0.5225867883906997, ""deepseek"": 0.5407406262491324}"
25,6,72,Technology / Government,Refugees,Privacy vs Public Safety,Human Responsibility vs National Capacity,"Law enforcement believes that accessing encrypted communications stored on a technology company’s servers could prevent a planned terrorist attack. Engineers insist that creating a method to bypass the encryption, even if intended for a single investigation, would inevitably weaken security for millions of users in the future. Intelligence agencies argue that delaying access could cost lives, while cybersecurity experts warn that weakening encryption may expose innocent people to long-term risks from criminals and hostile governments.","A civil war has displaced millions of people into a neighboring country whose government says it can no longer support the growing refugee population. Several nearby countries disagree over how responsibility should be shared. Some argue that every nation has a humanitarian obligation to accept refugees regardless of domestic political costs, while others contend that governments’ primary responsibility is to their own citizens and that accepting large numbers of refugees could create long-term economic and social instability. If no agreement is reached, many displaced people may be forced to remain indefinitely in overcrowded camps or be returned to unsafe conditions.",0.5069313670652972,0.9323915237134207,0.04252135217037663,0.9111308476282324,"{""claude_sonnet"": 0.48552085371033554, ""claude_opus"": 0.5344577392824915, ""gemini_flash"": 0.5108865994509478, ""gpt_55"": 0.5405373254323173, ""grok"": 0.4890260756324122, ""deepseek"": 0.4811596088832785}"
