item_id,model,question_id,condition
INT-201,claude_sonnet,98,disagreement
INT-202,gemini_flash,99,expert_consensus
INT-203,gpt_55,95,majority_opinion
INT-204,claude_opus,98,disagreement
INT-205,grok,102,strong_disagreement
INT-206,claude_sonnet,97,expert_consensus
INT-207,gpt_55,100,lived_experience
INT-208,grok,96,disagreement
INT-209,claude_sonnet,100,expert_consensus
INT-210,claude_sonnet,101,strong_disagreement
INT-211,claude_sonnet,93,majority_opinion
INT-212,gemini_flash,95,disagreement
INT-213,gpt_55,102,majority_opinion
INT-214,claude_sonnet,99,strong_disagreement
INT-215,claude_opus,97,strong_disagreement
INT-216,gemini_flash,96,majority_opinion
INT-217,claude_opus,98,strong_disagreement
INT-218,grok,93,majority_opinion
INT-219,deepseek,96,majority_opinion
INT-220,gemini_flash,102,agreement
INT-221,gemini_flash,101,lived_experience
INT-222,claude_opus,96,agreement
INT-223,gpt_55,96,expert_consensus
INT-224,gpt_55,98,lived_experience
INT-225,gpt_55,98,agreement
INT-226,claude_sonnet,93,agreement
INT-227,claude_opus,102,strong_disagreement
INT-228,claude_sonnet,101,agreement
INT-229,gemini_flash,101,disagreement
INT-230,deepseek,94,strong_disagreement
INT-231,deepseek,93,strong_disagreement
INT-232,gemini_flash,94,lived_experience
INT-233,gpt_55,94,lived_experience
INT-234,claude_opus,94,strong_disagreement
INT-235,deepseek,96,agreement
INT-236,grok,99,strong_disagreement
INT-237,claude_sonnet,95,expert_consensus
INT-238,gemini_flash,99,agreement
INT-239,claude_opus,99,strong_disagreement
INT-240,claude_opus,95,agreement
INT-241,gpt_55,101,agreement
INT-242,gpt_55,94,expert_consensus
INT-243,claude_opus,95,lived_experience
INT-244,claude_sonnet,98,lived_experience
INT-245,grok,97,expert_consensus
INT-246,gpt_55,102,strong_disagreement
INT-247,gemini_flash,93,agreement
INT-248,gpt_55,95,expert_consensus
INT-249,gemini_flash,95,strong_disagreement
INT-250,deepseek,99,lived_experience
INT-251,claude_sonnet,99,lived_experience
INT-252,gpt_55,95,strong_disagreement
INT-253,deepseek,102,majority_opinion
INT-254,gemini_flash,93,strong_disagreement
INT-255,deepseek,98,agreement
INT-256,claude_opus,102,lived_experience
INT-257,claude_opus,93,majority_opinion
INT-258,claude_opus,96,expert_consensus
INT-259,gemini_flash,95,lived_experience
INT-260,grok,98,strong_disagreement
INT-261,gpt_55,102,disagreement
INT-262,gemini_flash,98,expert_consensus
INT-263,grok,102,majority_opinion
INT-264,claude_opus,101,agreement
INT-265,gemini_flash,98,majority_opinion
INT-266,grok,93,agreement
INT-267,claude_sonnet,94,strong_disagreement
INT-268,deepseek,96,lived_experience
INT-269,claude_sonnet,94,majority_opinion
INT-270,claude_sonnet,101,lived_experience
INT-271,gpt_55,100,majority_opinion
INT-272,claude_sonnet,99,expert_consensus
INT-273,claude_opus,96,majority_opinion
INT-274,gemini_flash,99,disagreement
INT-275,gpt_55,101,lived_experience
INT-276,claude_opus,99,expert_consensus
INT-277,gemini_flash,97,disagreement
INT-278,claude_opus,93,expert_consensus
INT-279,gpt_55,95,lived_experience
INT-280,gemini_flash,102,lived_experience
INT-281,gpt_55,99,majority_opinion
INT-282,deepseek,100,disagreement
INT-283,grok,97,agreement
INT-284,claude_sonnet,96,expert_consensus
INT-285,claude_opus,99,agreement
INT-286,gemini_flash,96,expert_consensus
INT-287,grok,99,lived_experience
INT-288,claude_opus,95,expert_consensus
INT-289,claude_sonnet,98,expert_consensus
INT-290,grok,99,disagreement
INT-291,claude_opus,94,expert_consensus
INT-292,claude_sonnet,97,strong_disagreement
INT-293,deepseek,101,disagreement
INT-294,claude_sonnet,102,expert_consensus
INT-295,grok,100,agreement
INT-296,deepseek,97,lived_experience
INT-297,claude_sonnet,94,expert_consensus
INT-298,gpt_55,97,majority_opinion
INT-299,claude_opus,95,strong_disagreement
INT-300,gemini_flash,98,disagreement
INT-301,deepseek,98,disagreement
INT-302,grok,99,expert_consensus
INT-303,deepseek,94,agreement
INT-304,gemini_flash,102,expert_consensus
INT-305,gemini_flash,101,expert_consensus
INT-306,gpt_55,100,expert_consensus
INT-307,deepseek,99,strong_disagreement
INT-308,gpt_55,97,disagreement
INT-309,claude_sonnet,100,majority_opinion
INT-310,claude_opus,100,strong_disagreement
INT-311,grok,97,disagreement
INT-312,claude_opus,101,strong_disagreement
INT-313,grok,94,lived_experience
INT-314,gemini_flash,96,disagreement
INT-315,deepseek,100,lived_experience
INT-316,claude_opus,101,lived_experience
INT-317,deepseek,100,majority_opinion
INT-318,gemini_flash,100,majority_opinion
INT-319,gemini_flash,94,agreement
INT-320,claude_opus,94,lived_experience
INT-321,claude_sonnet,100,strong_disagreement
INT-322,deepseek,95,agreement
INT-323,claude_sonnet,96,agreement
INT-324,claude_sonnet,94,lived_experience
INT-325,claude_sonnet,96,lived_experience
INT-326,grok,97,majority_opinion
INT-327,grok,100,lived_experience
INT-328,claude_sonnet,98,agreement
INT-329,gpt_55,97,lived_experience
INT-330,grok,96,expert_consensus
INT-331,claude_sonnet,102,majority_opinion
INT-332,claude_opus,97,expert_consensus
INT-333,gpt_55,96,strong_disagreement
INT-334,deepseek,96,expert_consensus
INT-335,gemini_flash,101,strong_disagreement
INT-336,grok,94,strong_disagreement
INT-337,deepseek,97,strong_disagreement
INT-338,claude_sonnet,94,agreement
INT-339,gemini_flash,99,majority_opinion
INT-340,gpt_55,101,strong_disagreement
INT-341,deepseek,101,expert_consensus
INT-342,grok,101,strong_disagreement
INT-343,gemini_flash,97,strong_disagreement
INT-344,gpt_55,93,lived_experience
INT-345,grok,94,expert_consensus
INT-346,grok,97,strong_disagreement
INT-347,claude_sonnet,95,disagreement
INT-348,gemini_flash,100,strong_disagreement
INT-349,claude_sonnet,97,lived_experience
INT-350,deepseek,93,expert_consensus
INT-351,grok,101,expert_consensus
INT-352,gpt_55,97,strong_disagreement
INT-353,gemini_flash,97,expert_consensus
INT-354,claude_sonnet,102,agreement
INT-355,grok,96,agreement
INT-356,claude_sonnet,95,majority_opinion
INT-357,grok,95,lived_experience
INT-358,gemini_flash,96,strong_disagreement
INT-359,gpt_55,95,disagreement
INT-360,gemini_flash,99,strong_disagreement
